Presa;Demarcación;Cauce;Fase;Titular;Provincia
RISCOSO;TINTO, ODIEL Y PIEDRAS;ARROYO DEL RISCOSO;Explotación;U. ESPAÑOLA EXPLOSIVOS;Huelva
RIUDECANYES;CUENCAS INTERNAS DE CATALUÑA;RIERA DE RIUDECANYES;Explotación;COMUNITAT DE REGANTS DEL PANTA DE RIUDECANYES;Tarragona
RIVERA DE GATA;TAJO;RIVERA DE GATA;Explotación;ESTADO;Cáceres
RIVERA DE GATA;TAJO;RIVERA DE GATA;Explotación;ESTADO;Cáceres
RIVERA DE GATA;TAJO;RIVERA DE GATA;Explotación;ESTADO;Cáceres
RIVERA DE GATA;TAJO;VERTIENTE POR LA MARGEN IZQUIERDA DEL ARROYO DE PERALEJOS;Explotación;ESTADO;Cáceres
RIVERA DE GATA;TAJO;RIVERA DE GATA;Explotación;ESTADO;Cáceres
RIVERA DE GATA;TAJO;RIVERA DE GATA;Explotación;ESTADO;Cáceres
RIVERA DE GATA;TAJO;RIVERA DE GATA;Explotación;ESTADO;Cáceres
RIVERA DEL CASTAÑO;TAJO;RIVERA DEL CASTAÑO;Explotación;JUNTA DE EXTREMADURA, CONSEJERÍA DE FOMENTO, VIVIENDA ORDENACIÓN TERRITORIO Y TURISMO;Cáceres
ROBLEDILLOS I;GUADIANA;ARROYO DE VALLELUGAR;Explotación;JULIO SÁEZ CHOPOT;Toledo
ROBLEDILLOS III, LOS;GUADIANA;ARROYO DEL BUITRE;Explotación;JULIO SÁEZ CHOPOT;Toledo
ROBLEDILLOS II, LOS;GUADIANA;ARROYO DE LAS NAVAS;Explotación;JULIO SÁEZ CHOPOT;Toledo
ROCHA, LA;TAJO;RÍO TAJO;Explotación;ENEL UNION FENOSA RENOVABLES, S.A.;Guadalajara
RODEOS, LOS;SEGURA;RIO MULA;Explotación;ESTADO;Murcia
ROLLO, EL;JUCAR;;Explotación;COMUNIDAD DE REGANTES DE VIRGEN DE LAS NIEVES;Alicante/Alacant
ROMANEJO;TAJO;;Explotación;SEIASA;Cáceres
ROMERAL, EL;TAJO;ARROYO DEL ROMERAL;Explotación;ESTADO;Madrid
ROPERA II, LA;GUADIANA;;Explotación;HERMANOS GONZALEZ BORDALLO;Cáceres
ROPERA I, LA;GUADIANA;ARROYO DE LAS ALBARIZAS;Explotación;EXPLOTACIONES AGRÍCOLAS LA ROPERA: Pedro Gonzalez Bordallo.;Cáceres
ROSADOIRO;GALICIA-COSTA;REGO DO SEIXEDO;Explotación;DIPUTACION DE LA CORUÑA;Coruña, A
ROSAL, EL;GUADIANA;ARROYO DEL ROSAL;Explotación;EXVASA;Badajoz
ROSALES, LOS;TAJO;ARROYO DE LA PRADERA;Explotación;URB. PARQUE LAGOS;Madrid
ROSARIO;GUADALQUIVIR;ARROYO DE LA FUENTA DE LA PARRA;Explotación;CONFEDERACION HIDROGRAFICA DEL GUADALQUIVIR;Sevilla
ROSARIO, EL;GUADIANA;GARGANTA DE LOS RASOS;Explotación;RÚSTICAS EL CASTAÑAR;Ciudad Real
ROSARITO;TAJO;RÍO TIÉTAR;Explotación;ESTADO;Ávila
ROSARITO;TAJO;ARROYO DEL MOJÓN;Explotación;ESTADO;Toledo
ROSO, EL;GUADALQUIVIR;;Explotación;TROYA Y COMPAÑIA, S.A.;Sevilla
ROZAS, LAS;MIÑO-SIL;RÍO SIL;Explotación;ENDESA GENERACION S.A.;León
ROZUELAS, LAS;GUADIANA;ARROYO DEL FIGUERAL;Explotación;ISABEL GONZALEZ Y HERMANOS DE PABLO ROMERO;Córdoba
ROZUELAS, LAS;GUADIANA;;Explotación;LAS ROZUELAS DEL VALLE,S.L.;Córdoba
RUBIAL, EL;GUADIANA;ARROYO DEL RUBIAL;Explotación;;Ciudad Real
RUBIAL, EL;JUCAR;;Explotación;COMUNIDAD DE REGANTES DE HUERTA Y PARTIDAS;Alicante/Alacant
RUBITE;CUENCAS MEDITERRANEAS ANDALUZAS;RÍO RUBITE;Explotación;JUNTA DE ANDALUCIA. AGENCIA ANDALUZA DEL AGUA;Málaga
RUECAS;GUADIANA;RIO RUECAS;Explotación;ESTADO;Cáceres
RUECAS;GUADIANA;RIO RUECAS;Explotación;ESTADO;Cáceres
RUIDERA;TAJO;RÍO GUADIELA;Explotación;NAVARRO GENERACIÓN S.A.;Cuenca
RULES;CUENCAS MEDITERRANEAS ANDALUZAS;RÍO GUADALFEO O RÍO CÁDIAR;Explotación;JUNTA DE ANDALUCIA. AGENCIA ANDALUZA DEL AGUA;Granada
RUMBLAR;GUADALQUIVIR;RÍO RUMBLAR;Explotación;ESTADO;Jaén
RUMEDO INFERIOR;EBRO;RIU DE ROMEDO;Explotación;ENDESA GENERACION S.A.;Lleida
SABIÑANIGO;EBRO;RÍO GÁLLEGO;Explotación;CORPORACIÓN ACCIONA HIDRAULICA, S.L.;Huesca
SABOCHA, LA;JUCAR;;Explotación;COMUNIDAD DE REGANTES ACEQUIA LA SABOCHA;Valencia/Valéncia
SABUREDO;EBRO;ARRIU DE SABOREDO;Explotación;ENDESA GENERACION S.A.;Lleida
SABURO;EBRO;EL FLAMISELL;Explotación;ENDESA GENERACION S.A.;Lleida
SABURO;EBRO;EL FLAMISELL;Explotación;ENDESA GENERACION S.A.;Lleida
SABURO;EBRO;EL FLAMISELL;Explotación;ENDESA GENERACION S.A.;Lleida
SACERUELA;GUADIANA;ARROYO DE LA PUENTE CARRIZOSA;Explotación;AYUNTAMIENTO DE SACERUELA;Ciudad Real
SAGUNTO;JUCAR;;Explotación;AYUNTAMIENTO DE SAGUNTO;Valencia/Valéncia
SALADO;EBRO;EL FLAMISELL;Explotación;ENDESA GENERACION S.A.;Lleida
SALAS;MIÑO-SIL;RÍO SALAS;Explotación;NATURGY GENERACIÓN, S.L.U.;Ourense
SALAZARES;TAJO;ARROYO DE LOS SALAZARES;Explotación;ANTONIO GONZALEZ LUENGO Y LEONIDES GARCIA SANCHEZ;Toledo
SALENTINOS;MIÑO-SIL;RÍO DE SALENTINOS O DE LA TEJERA;Explotación;ENDESA GENERACION S.A.;León
SALERA, LA;EBRO;ORTAURI ERREKA;Explotación;COMUNIDAD DE REGANTES DE MAZABALA;Araba/Álava
SALIENCIA;CANTABRICO OCCIDENTAL;RÍO SALIENCIA;Explotación;HIDROELECTRICA DEL CANTABRICO, S.A.;Asturias
SALIME;CANTABRICO OCCIDENTAL;RÍO NAVIA;Explotación;SALTOS DE NAVIA CB;Asturias
SALINAS;JUCAR;;Explotación;SEIASA;Alicante/Alacant
SALINAS;EBRO;RÍO CINCA;Explotación;CORPORACIÓN ACCIONA HIDRAULICA, S.L.;Huesca
SALLENTE;EBRO;BARRANC DE LA LORA;Explotación;ENDESA GENERACION S.A.;Lleida
SALOBRAL 1, EL;JUCAR;;Explotación;CDAD. DE REGANTES PRINCIPE DE ESPAÑA;Albacete
SALOBRAL 2, EL;JUCAR;;Explotación;SEIASA;Albacete
SALOR;TAJO;RÍO SALOR;Explotación;JUNTA DE EXTREMADURA, CONSEJERÍA DE FOMENTO, VIVIENDA ORDENACIÓN TERRITORIO Y TURISMO;Cáceres
SALSE I;JUCAR;;Explotación;COMUNIDAD DE REGANTES DE VALLE DE BENEJAMA;Alicante/Alacant
SALSE II;JUCAR;;Explotación;SEIASA;Alicante/Alacant
SALTADERO, EL;TENERIFE;BARRANCO DEL SALTADERO;Explotación;GOBIERNO DE CANARIAS. CONSEJERIA DE OBRAS PUBLICAS, VIVIENDA Y AGUAS;Santa Cruz de Tenerife
SALTO AL CIELO;GUADALETE Y BARBATE;ARROYO DE LAS CRUCES;Explotación;CUYGASA;Cádiz
SALTO DEL OLVIDO;DUERO;RÍO ERESMA;Explotación;ESTADO;Segovia
SALTO DE SARRIA;EBRO;RIO ARGA;Explotación;SALTOS DEL ARGA, S.L.U.;Navarra
SALTO DE SARRIA;EBRO;RIO ARGA;Explotación;INICIATIVAS ENERGÉTICAS, S.A.;Navarra
SALTO DE SARRIA;EBRO;RIO ARGA;Explotación;INICIATIVAS ENERGÉTICAS, S.A.;Navarra
SALVAINDIA;GRAN CANARIA;BARRANCO HOYA DE LOS MANRIQUES;Explotación;J. DEL RIO AMOR;Palmas, Las
SAN ANDRES;DUERO;RÍO PISUERGA;Explotación;ESTADO;Palencia
SAN ANDRES DE LOS TACONES;CANTABRICO OCCIDENTAL;RÍO ABOÑO;Explotación;ARCELORMITAL ESPAÑA, S.A.;Asturias
SAN ANTON;CANTABRICO ORIENTAL;RIO ENDARA;Explotación;MANCOMUNIDAD DE SERVICIOS DE TXINGUDI;Navarra
SAN ANTONIO;TENERIFE;;Explotación;GOBIERNO DE CANARIAS. CONSEJERIA DE OBRAS PUBLICAS, VIVIENDA Y AGUAS;Santa Cruz de Tenerife
SAN ASENSIO;EBRO;;Explotación;ESTADO;Rioja, La
SAN BARTOLOME;EBRO;;Explotación;ESTADO;Zaragoza
SAN BARTOLOME DE LA TORRE;TINTO, ODIEL Y PIEDRAS;ARROYO DE SAN BARTOLOMÉ;Explotación;AYUNTAMIENTO DE SAN BARTOLOME;Huelva
SAN BENITO Nº 1;TAJO;ARROYO DE SAN BENITO;Explotación;SOCIEDAD MERCANTIL VAYUNQUERA S. L.;Guadalajara
SAN BENITO Nº 3;TAJO;ARROYO DE SAN BENITO;Explotación;SOCIEDAD MERCANTIL VAYUNQUERA S. L.;Guadalajara
SAN BENITO Nº 4;TAJO;ARROYO DE SAN BENITO;Explotación;SOCIEDAD MERCANTIL VAYUNQUERA S. L.;Guadalajara
SANCHO, EL;TINTO, ODIEL Y PIEDRAS;RIVERA DE MECA;Explotación;GRUPO EMPRESARIAL ENCE;Huelva
SAN CLEMENTE;GUADALQUIVIR;RÍO GUARDAL;Explotación;ESTADO;Granada
SAN COSMADE;GALICIA-COSTA;REGO DA UCEIRA;Explotación;NATURGY GENERACIÓN, S.L.U.;Coruña, A
SAN CRISTOBAL;JUCAR;;Explotación;SEIASA;Alicante/Alacant
SANDIN;CANTABRICO OCCIDENTAL;ARROYO DE LANGUINO;Explotación;UNOSA;Asturias
SAN ENRIQUE;JUCAR;;Explotación;COMUNIDAD DE REGANTES DE SAN ENRIQUE;Alicante/Alacant
SAN ESTEBAN;MIÑO-SIL;RÍO SIL;Explotación;IBERDROLA GENERACION S.A.;Ourense
SAN FERNANDO;DUERO;RÍO TORMES;Explotación;BELSA DE ENERGIA, S.L.;Salamanca
SANGONERA LA SECA;SEGURA;;Explotación;COMUNIDAD DE REGANTES DE SANGONERA;Murcia
SAN GREGORIO;EBRO;BARRANCO DE ISIDORO;Explotación;ESTADO;Huesca
SANITURRI;EBRO;;Explotación;PARTICULAR;Araba/Álava
SAN JOSE;DUERO;RÍO DUERO;Explotación;ESTADO;Valladolid
SAN JUAN;TAJO;ARROYO DEL MOLINO DE LA PRESA;Explotación;ESTADO;Madrid
SAN JUAN;TAJO;RÍO ALBERCHE;Explotación;ESTADO;Madrid
SAN JUAN;EBRO;;Explotación;AYUNTAMIENTO DE ALTORICÓN;Huesca
SAN JUAN DE TORAN;EBRO;ARRIU DE TORAN GÒRGES D'ERMÈR;Explotación;ENDESA GENERACION S.A.;Lleida
SAN LAZARO;MIÑO-SIL;RÍO DE SAN LÁZARO;Explotación;IBERDROLA GENERACION S.A.;Ourense
SAN LISTA - POZO NUEVO;GUADALQUIVIR;ARROYO TÍO VALIENTE;Explotación;FERNANDO MESSIA BENJUMEA;Sevilla
SAN LORENZO;EBRO;RIU SEGRE;Explotación;ENDESA GENERACION S.A.;Lleida
SAN LORENZO TENOYA;GRAN CANARIA;BARRANCO DE BERRANQUES;Explotación;ANTONIO CARDONA;Palmas, Las
SAN MARCOS;TAJO;ARROYO DE ACEITUNA;Explotación;JUNTA DE EXTREMADURA, CONSEJERÍA DE FOMENTO, VIVIENDA ORDENACIÓN TERRITORIO Y TURISMO;Cáceres
SAN MARTIN;MIÑO-SIL;RÍO SIL;Explotación;IBERDROLA GENERACION S.A.;Lugo
SAN MARTIN DE ZAR;EBRO;;Explotación;COMUNIDAD DE REGANTES RIO ROJO-BERANTEVILLA;Burgos
SAN MAURICIO;EBRO;RIU DEL PORTARRÓ;Explotación;ENDESA GENERACION S.A.;Lleida
SAN MIGUEL;MIÑO-SIL;RÍO DE REQUEIXO O DE SAN MIGUEL;Explotación;IBERDROLA GENERACION S.A.;Ourense
SAN PABLO (BALSA 1);GUADALQUIVIR;;Explotación;EXPLOTACIONES AGRÍCOLAS GUADALIMAR, S.L.;Jaén
SAN PASCUAL;JUCAR;;Explotación;S. A. T. SAN PASCUAL;Alicante/Alacant
SAN PEDRO (NORTE);MIÑO-SIL;RÍO SIL;Explotación;IBERDROLA GENERACION S.A.;Lugo
SAN QUIRCE;DUERO;ARROYO DE SAN QUIRCE;Explotación;AGRICOLAS CINEGETICAS SAN QUIRCE S.L.;Burgos
SAN RAFAEL DE NAVALLANA;GUADALQUIVIR;RÍO GUADALMELLATO;Explotación;ESTADO;Córdoba
SAN ROMAN;DUERO;RÍO DUERO;Explotación;IBERDROLA GENERACION S.A.;Zamora
SANS;EBRO;VALLE DE SANS;Explotación;ENDESA GENERACION S.A.;Lleida
SAN SEBASTIAN;MIÑO-SIL;RÍO BIBEI;Explotación;ENDESA GENERACION S.A.;Ourense
SANTA ANA;EBRO;RÍO NOGUERA RIBAGORÇANA;Explotación;ESTADO;Huesca
SANTA AURORA Y LAS LAPILLAS;GUADALQUIVIR;;Explotación;CORBASA, S.A.;Sevilla
SANTA BARBARA DE CASA;GUADIANA;ARROYO DE LA CASA;Explotación;AYUNTAMIENTO DE SANTA BARBARA;Huelva
SANTA BRIGIDA;GRAN CANARIA;BARRANCO DE SANTA BRÍGIDA;Explotación;CDAD. SATAUTEJO Y LA HIGUERA;Palmas, Las
SANTA CRUZ DE PINARES;TAJO;ARROYO DEL PUERTO O DE LA REGUERA;Explotación;MANCOMUNIDAD MUNICIPAL DE AGUAS PRESA SANTA CRUZ;Ávila
SANTA ELENA;EBRO;RÍO GÁLLEGO;Explotación;ACCIONA SALTOS DE AGUA, SL.;Huesca
SANTA EUGENIA;GALICIA-COSTA;RÍO XALLAS;Explotación;CARBUROS METALICOS;Coruña, A
SANTA EULALIA;MIÑO-SIL;RÍO XARES;Explotación;IBERDROLA GENERACION S.A.;Ourense
SANTA EULALIA DE TABARA;DUERO;RÍO ESLA;Explotación;IBERDROLA ENERGÍAS RENOVABLES, S.A. (IBERRENOVA);Zamora
SANTA FE;CUENCAS INTERNAS DE CATALUÑA;RIERA DE SANTA FE;Explotación;POLIGONO INDUSTRIAL CAN SEDO, S.L;Barcelona
SANTA LUCIA DE LA SIERRA;DUERO;ARROYO DE LA GARGANTA DEL ENDRINAL;Explotación;COMUNIDAD DE REGANTES DE LA CARRERA-GARGANTA DEL ENDRINAL;Ávila
SANTA MARIA BELSUE;EBRO;RÍO FLUMEN;Explotación;ESTADO;Huesca
SANTA MARIA DEL CONDADO;DUERO;VALLE DEL SESTIL;Explotación;COMUNIDAD DE REGANTES DE SANTA MARÍA DEL MONTE DEL CONDADO;León
SANTA MARTA DE MAGASCA;TAJO;ARROYO DE PASCUALETE;Explotación;JUNTA DE EXTREMADURA, CONSEJERÍA DE FOMENTO, VIVIENDA ORDENACIÓN TERRITORIO Y TURISMO;Cáceres
SANTA TERESA;DUERO;RÍO TORMES;Explotación;ESTADO;Salamanca
SANTA TERESA;DUERO;ARROYO DE LA NAVA;Explotación;ESTADO;Salamanca
SANTIAGO;MIÑO-SIL;RÍO SIL;Explotación;IBERDROLA GENERACION S.A.;Ourense
SANTIAGO URUMEA;CANTABRICO ORIENTAL;RÍO URUMEA;Explotación;IBERDROLA RENOVABLES ENERGÍA S.A.;Gipuzkoa
SANTIAMA;EBRO;;Explotación;COMUNIDAD DE REGANTES DE MENDILUCIA;Araba/Álava
SANTIBAÑEZ;MIÑO-SIL;RÍO SIL;Explotación;ENDESA GENERACION S.A.;León
SAN TIBURCIO;CANTABRICO ORIENTAL;BIDASOA IBAIA;Explotación;IBERDROLA GENERACION S.A.;Navarra
SANT MARTI;EBRO;RIU DE SANT MARTÍ;Explotación;ENDESA GENERACION S.A.;Lleida
SANTOLEA;EBRO;RÍO GUADALOPE;Explotación;ESTADO;Teruel
SANTOMERA;SEGURA;RAMBLA SALADA;Explotación;ESTADO;Murcia
SANTOMERA;SEGURA;RAMBLA SALADA;Explotación;ESTADO;Murcia
SANTOS, LOS;GUADIANA;BARRANCO PELIGROSO;Explotación;PARTICULAR;Huelva
SANT PONC;CUENCAS INTERNAS DE CATALUÑA;RIU CARDENER;Explotación;GENERALITAT DE CATALUÑA;Lleida
SAN VICENTE I;JUCAR;;Explotación;BONNY S.A.;Alicante/Alacant
SAN VICENTE II;JUCAR;;Explotación;BONNY S.A.;Alicante/Alacant
SAN VICENTE III;JUCAR;;Explotación;BONNY S.A.;Alicante/Alacant
SAN VICTOR;EBRO;ARROYO DE ALBORCON;Explotación;AUTONOMIA PAIS VASCO;Araba/Álava
SARDERA, LA;EBRO;;Explotación;SEIASA;Huesca
SARDON;DUERO;RÍO DUERO;Explotación;IBERICA DE ENERGIAS, S.L.;Valladolid
SARRA, LA;EBRO;RÍO AGUAS LIMPIAS;Explotación;CORPORACIÓN ACCIONA HIDRAULICA, S.L.;Huesca
SARREA;EBRO;;Explotación;COMUNIDAD DE REGANTES DE MENDILUCIA;Araba/Álava
SATAUTEJO;GRAN CANARIA;BARRANCO DEL COLEGIO;Explotación;AYUNTAMIENTO DE LAS PALMAS;Palmas, Las
SAU;CUENCAS INTERNAS DE CATALUÑA;RIU TER;Explotación;GENERALITAT DE CATALUÑA;Barcelona
SAUCEDILLA;GUADIANA;ARROYO DE LA SACEDILLA ALTA DE PEÑARRODRIGO;Explotación;AYUNTAMIENTO DE SAUCEDILLA;Ciudad Real
SAUCELLE;DUERO;RÍO DUERO;Explotación;IBERDROLA GENERACION S.A.;Salamanca
SAX;JUCAR;;Explotación;COMUNIDAD GENERAL DE USUARIOS ALTO VINALOPÓ;Alicante/Alacant
SECÁ UTXESA;EBRO;VALL DEL MAS;Explotación;ENDESA GENERACION S.A.;Lleida
SECO;CUENCAS MEDITERRANEAS ANDALUZAS;RÍO SECO;Explotación;JUNTA DE ANDALUCIA. AGENCIA ANDALUZA DEL AGUA;Málaga
SEGRIA-SUD;EBRO;;Explotación;GENERALITAT DE CATALUÑA;Lleida
SEGRIA-SUD;EBRO;;Explotación;GENERALITAT DE CATALUÑA;Lleida
SEGRIA-SUD - 2ª FASE REGADIO;EBRO;;Explotación;GENERALITAT DE CATALUÑA;Lleida
SEGRIA-SUD - 2ª FASE REGADIO;EBRO;;Explotación;GENERALITAT DE CATALUÑA;Lleida
SEIRA;EBRO;RÍO ÉSERA;Explotación;CORPORACIÓN ACCIONA HIDRAULICA, S.L.;Huesca
SEITA;MIÑO-SIL;REGUERO LA SEITA;Explotación;ENDESA GENERACION S.A.;León
SEIX DE GURP, EL;EBRO;;Explotación;ESTADO;Lleida
SELGA DE ORDAS;DUERO;RÍO LUNA;Explotación;ESTADO;León
SENET;EBRO;RÍO NOGUERA RIBAGORÇANA;Explotación;ENDESA GENERACION S.A.;Huesca
SEQUEIROS;MIÑO-SIL;RÍO SIL;Explotación;IBERDROLA GENERACION S.A.;Lugo
SERENA, LA;GUADIANA;RIO ZUJAR;Explotación;ESTADO;Badajoz
SERONES;DUERO;RÍO VOLTOYA;Explotación;AYUNTAMIENTO DE AVILA;Ávila
SERREJON;TAJO;REGATO DE LA CERCA;Explotación;COMUNIDAD DE REGANTES DE LA ZONA II DE LAS VEGAS ALTA Y MEDIA DEL SEGURA;Cáceres
SERRETILLA;JUCAR;;Explotación;COMUNIDAD DE REGANTES DE POZOS LA SERRETILLA;Valencia/Valéncia
SETEFILLA;GUADALQUIVIR;ARROYO DE GUADALBACAR;Explotación;JUNTA DE ANDALUCIA. AGENCIA ANDALUZA DEL AGUA;Sevilla
SIBERIA, LA;GRAN CANARIA;VERTIENTE POR LA MARGEN IZQUIERDA DEL BARRANCO MAIPE;Explotación;HEREDAD DE LAS PALMAS Y DRAGONAL BUCIO Y BRIVIESCA;Palmas, Las
SIBERIO, EL;GRAN CANARIA;BARRANCO DE SIBERIO;Explotación;COMUNIDAD DE REGANTES DE ALDEA S. NICOLAS;Palmas, Las
SICHAR;JUCAR;RIU MIJARES;Explotación;ESTADO;Castellón/Castelló
SICHAR;JUCAR;RIU MIJARES;Explotación;ESTADO;Castellón/Castelló
SIERRA BOYERA;GUADALQUIVIR;RÍO GUADIATO;Explotación;ESTADO;Córdoba
SIERRA BOYERA;GUADALQUIVIR;RÍO GUADIATO;Explotación;ESTADO;Córdoba
SIERRA BOYERA;GUADALQUIVIR;RÍO GUADIATO;Explotación;ESTADO;Córdoba
SIERRA BRAVA;GUADIANA;ARROYO PIZARROSO;Explotación;ESTADO;Cáceres
SIERRA MAGINA-EL CAZ;GUADALQUIVIR;;Explotación;SEIASA;Jaén
SIERRA MAGINA-EL CAZ;GUADALQUIVIR;;Explotación;SEIASA;Jaén
SIERRA OLIVA;JUCAR;;Explotación;SEIASA;Alicante/Alacant
SILILLOS;TINTO, ODIEL Y PIEDRAS;ARROYO DEL BUITRÓN;Explotación;AYUNTAMIENTO DE VALVERDE CAMINO;Huelva
SILILLOS II;TINTO, ODIEL Y PIEDRAS;ARROYO DEL BUITRÓN;Explotación;AYUNTAMIENTO DE VALVERDE CAMINO;Huelva
SILLA, LA;GUADALETE Y BARBATE;ARROYO DE LA SILLA;Explotación;MIGUEL BOHORQUEZ GARCIA DE VILLEGAS;Cádiz
SILLO, EL;GUADIANA;ARROYO DEL SILLO;Explotación;PRESUR;Badajoz
SINFUENTES;GUADALQUIVIR;;Explotación;IGNACIO GONZALEZ CONDE;Sevilla
SOBRON;EBRO;RÍO EBRO;Explotación;IBERDROLA GENERACION S.A.;Araba/Álava
SOCIEDAD;JUCAR;;Explotación;CANAL DE LA HUERTA DE ALICANTE;Alicante/Alacant
SOLANA;JUCAR;;Explotación;SEIASA;Alicante/Alacant
SOLANA, LA;TAJO;REGATO CABRIOSO;Explotación;MARÍA SOLEDAD Y ASUNCIÓN SALAMANCA LAFFITTE;Cáceres
SOLANO;CUENCAS MEDITERRANEAS ANDALUZAS;ARROYO SOLANO;Explotación;JUNTA DE ANDALUCIA. AGENCIA ANDALUZA DEL AGUA;Málaga
SOL DE LA HUERTA;JUCAR;;Explotación;COMUNIDAD DE REGANTES DE SAN CRISTOBAL DE BIHAR;Alicante/Alacant
SOLLUBE;CANTABRICO ORIENTAL;SOLLUBE ERREKA;Explotación;AYUNTAMIENTO DE MUNGUIA;Bizkaia
SOLOVIEJO II;GUADIANA;BARRANCO SOLOVIEJO;Explotación;AGROPECUARIAS LA ZARZUELA S.L.;Toledo
SOMIEDO (LAGOS);CANTABRICO OCCIDENTAL;RÍO SOMIEDO;Explotación;HIDROELECTRICA DEL CANTABRICO, S.A.;Asturias
SOPEIRA;EBRO;RÍO NOGUERA RIBAGORÇANA;Explotación;ENDESA GENERACION S.A.;Huesca
SORIA;GRAN CANARIA;BARRANCO DE ARGUINEGUÍN;Explotación;COMUNIDAD DE AGUAS DE LA LUMBRE;Palmas, Las
SORRIBA;DUERO;RÍO ESLA;Explotación;ESTADO;León
SOTIEL;TINTO, ODIEL Y PIEDRAS;RIVERA OLIVARGAS;Explotación;ALMAGRERA S.A.;Huelva
SOTOGRANDE 1;CUENCAS MEDITERRANEAS ANDALUZAS;ARROYO DEL GUADALQUITÓN;Explotación;"FINANCIERA ""SOTOGRANDE"" SA";Cádiz
SOTOGRANDE 2;CUENCAS MEDITERRANEAS ANDALUZAS;ARROYO DE LA HIGUERA;Explotación;"FINANCIERA ""SOTOGRANDE"" SA";Cádiz
SOTO III, EL;GUADIANA;ARROYO DEL AVELLANAR;Explotación;EL SOTO S.A.;Ciudad Real
SOTONERA, LA;EBRO;ARROYO ASTON-ALBERCA;Explotación;ESTADO;Huesca
SOTONERA, LA;EBRO;ARROYO ASTON-VACAS;Explotación;ESTADO;Huesca
SOTONERA, LA;EBRO;RÍO SOTÓN;Explotación;ESTADO;Huesca
SUEÑO, EL;GUADIANA;BARRANCO DEL LAGAR;Explotación;EL CERRON DEL CASTILLO DE PRIM;Ciudad Real
SUR;TINTO, ODIEL Y PIEDRAS;VERTIENTE POR LA MARGEN DERECHA DEL RÍO TINTO;Explotación;RIOTINTO PATIÑO;Huelva
SUSQUEDA;CUENCAS INTERNAS DE CATALUÑA;RIU TER;Explotación;ENDESA GENERACION S.A.;Girona
TABLILLAS;GUADALQUIVIR;RÍO TABLILLAS;Explotación;REPSOL PETROLEO S.A.;Ciudad Real
TABONA, LA;TENERIFE;;Explotación;GOBIERNO DE CANARIAS. CONSEJERIA DE OBRAS PUBLICAS, VIVIENDA Y AGUAS;Santa Cruz de Tenerife
TABUYO DEL MONTE;DUERO;RÍO VALTABUYO;Explotación;COMUNIDAD DE REGANTES DE TABUYO DEL MONTE;León
TAHODIO;TENERIFE;BARRANCO DE TAHODIO;Explotación;PARTICULAR;Santa Cruz de Tenerife
TAIBILLA;SEGURA;RIO TAIBILLA;Explotación;ESTADO;Albacete
TAIBILLA;SEGURA;RIO TAIBILLA;Explotación;ESTADO;Albacete
TAJERA, LA;TAJO;RÍO TAJUÑA;Explotación;ESTADO;Guadalajara
TAJO DE LA ENCANTADA;CUENCAS MEDITERRANEAS ANDALUZAS;RÍO GUADALHORCE;Explotación;ENDESA GENERACION S.A.;Málaga
TAJO DE LA ENCANTADA;CUENCAS MEDITERRANEAS ANDALUZAS;;Explotación;ENDESA GENERACION S.A.;Málaga
TAJO DE LA ENCANTADA SUPERIOR;CUENCAS MEDITERRANEAS ANDALUZAS;;Explotación;ENDESA GENERACION S.A.;Málaga
TAJO DE LA ENCANTADA SUPERIOR;CUENCAS MEDITERRANEAS ANDALUZAS;;Explotación;ENDESA GENERACION S.A.;Málaga
TAJO DE LA ENCANTADA SUPERIOR;CUENCAS MEDITERRANEAS ANDALUZAS;;Explotación;ENDESA GENERACION S.A.;Málaga
TALARN;EBRO;LA NOGUERA PALLARESA;Explotación;ENDESA GENERACION S.A.;Lleida
TALARRUBIAS;GUADIANA;ARROYO EL VERRACO;Explotación;CARLOS CORSINI ALONSO;Badajoz
TALARRUBIAS, LAS;GUADIANA;ARROYO EL VERRACO;Explotación;LAS TALARRUBIAS S.A.;Badajoz
TALAVAN;TAJO;ARROYO DE TALAVÁN;Explotación;JUNTA DE EXTREMADURA, CONSEJERÍA DE FOMENTO, VIVIENDA ORDENACIÓN TERRITORIO Y TURISMO;Cáceres
TALAVE, EL;SEGURA;RIO MUNDO;Explotación;ESTADO;Albacete
TALLISCAS;TAJO;ARROYO DE LAS TALLISCAS;Explotación;IGNACIO RODRIGUEZ BARRERO;Cáceres
TAMADABA;GRAN CANARIA;BARRANCO LOS ANCONES;Explotación;J. SANSO ENRIQUEZ;Palmas, Las
TAMAIDE;TENERIFE;BARRANCO DEL DRAGO;Explotación;PARTICULAR;Santa Cruz de Tenerife
TAMARACEITE;GRAN CANARIA;BARRANCO DE TAMARACEITE;Explotación;GUERRA G.S.L.;Palmas, Las
TAMUJAR;GUADALQUIVIR;ARROYO DEL TAMUJAR - SEVILLA;Explotación;A. CARRASCO Y F. ALBA;Sevilla
TANES;CANTABRICO OCCIDENTAL;RÍO NALÓN;Explotación;HIDROELECTRICA DEL CANTABRICO, S.A.;Asturias
TAPAHUGA;LA GOMERA;BARRANCO TAPACHUGA;Explotación;A. RODRIGUEZ LOPEZ;Santa Cruz de Tenerife
TARAJE, EL;GUADALQUIVIR;ARROYO DE MALMERIENDA;Explotación;FRUTOS DEL GUADALQUIVIR S.A. (FRUGUSA);Sevilla
