,fecha,comunidad_autonoma,tmed,tmax,velmedia,sol,generation,inst_Solar_térmica
671,2015-02-07,CASTILLA-LA MANCHA,-0.058,3.763,1.607,2.0,581.962,349.4
672,2015-02-07,CATALUNA,2.76,8.048,1.702,3.0,114.753,24.29
675,2015-02-07,COMUNITAT VALENCIANA,3.471,7.908,1.764,2.0,69.671,49.9
676,2015-02-07,EXTREMADURA,4.021,9.644,2.092,3.0,1840.147,849.0
683,2015-02-07,REGION DE MURCIA,4.86,9.79,1.4,2.0,16.393,31.4
684,2015-02-08,ANDALUCIA,6.786,11.805,2.494,4.0,3726.694,1000.02
689,2015-02-08,CASTILLA-LA MANCHA,1.171,8.156,1.589,5.0,1465.902,349.4
690,2015-02-08,CATALUNA,4.233,10.181,3.744,4.0,289.051,24.29
693,2015-02-08,COMUNITAT VALENCIANA,5.675,12.107,2.758,5.0,175.495,49.9
694,2015-02-08,EXTREMADURA,4.32,10.086,2.633,4.0,4635.14,849.0
701,2015-02-08,REGION DE MURCIA,7.21,12.64,1.622,5.0,41.293,31.4
702,2015-02-09,ANDALUCIA,8.073,14.404,4.364,4.0,3887.49,1000.02
707,2015-02-09,CASTILLA-LA MANCHA,2.95,9.52,3.115,4.0,1529.151,349.4
708,2015-02-09,CATALUNA,5.486,12.408,2.038,4.0,301.523,24.29
711,2015-02-09,COMUNITAT VALENCIANA,5.374,10.97,3.106,3.0,183.067,49.9
712,2015-02-09,EXTREMADURA,6.155,13.183,3.2,4.0,4835.133,849.0
719,2015-02-09,REGION DE MURCIA,5.678,12.27,2.425,3.0,43.075,31.4
720,2015-02-10,ANDALUCIA,9.409,13.097,3.808,1.0,842.97,1000.02
725,2015-02-10,CASTILLA-LA MANCHA,4.509,9.659,2.213,3.0,331.584,349.4
726,2015-02-10,CATALUNA,6.194,14.017,1.954,4.0,65.383,24.29
729,2015-02-10,COMUNITAT VALENCIANA,7.552,12.262,2.242,3.0,39.697,49.9
730,2015-02-10,EXTREMADURA,7.47,12.23,3.378,3.0,1048.459,849.0
737,2015-02-10,REGION DE MURCIA,8.94,11.8,2.222,1.0,9.34,31.4
738,2015-02-11,ANDALUCIA,9.994,15.544,2.167,3.0,998.27,1000.02
743,2015-02-11,CASTILLA-LA MANCHA,6.066,10.063,1.794,2.0,392.671,349.4
744,2015-02-11,CATALUNA,5.934,12.571,1.479,2.0,77.428,24.29
747,2015-02-11,COMUNITAT VALENCIANA,8.862,12.505,2.344,2.0,47.01,49.9
748,2015-02-11,EXTREMADURA,9.294,13.864,1.945,2.0,1241.616,849.0
755,2015-02-11,REGION DE MURCIA,10.889,15.03,2.175,2.0,11.061,31.4
756,2015-02-12,ANDALUCIA,10.436,13.946,1.335,2.0,1843.152,1000.02
761,2015-02-12,CASTILLA-LA MANCHA,6.046,9.885,1.301,2.0,725.007,349.4
762,2015-02-12,CATALUNA,6.64,11.958,1.452,2.0,142.959,24.29
765,2015-02-12,COMUNITAT VALENCIANA,8.181,10.556,1.383,1.0,86.797,49.9
766,2015-02-12,EXTREMADURA,9.005,15.317,1.185,4.0,2292.452,849.0
773,2015-02-12,REGION DE MURCIA,9.189,10.76,1.562,1.0,20.423,31.4
774,2015-02-13,ANDALUCIA,10.238,15.367,1.959,4.0,2690.398,1000.02
779,2015-02-13,CASTILLA-LA MANCHA,5.895,11.888,2.484,3.0,1058.273,349.4
780,2015-02-13,CATALUNA,8.442,14.077,2.66,3.0,208.674,24.29
