value,percentage,datetime
780963.44,1,2015-12-15T00:00:00.000+01:00
772292.239,1,2015-12-16T00:00:00.000+01:00
770585.858,1,2015-12-17T00:00:00.000+01:00
755427.25,1,2015-12-18T00:00:00.000+01:00
688717.004,1,2015-12-19T00:00:00.000+01:00
640402.405,1,2015-12-20T00:00:00.000+01:00
744705.501,1,2015-12-21T00:00:00.000+01:00
753394.497,1,2015-12-22T00:00:00.000+01:00
737145.724,1,2015-12-23T00:00:00.000+01:00
649621.947,1,2015-12-24T00:00:00.000+01:00
552928.567,1,2015-12-25T00:00:00.000+01:00
609671.374,1,2015-12-26T00:00:00.000+01:00
607423.494,1,2015-12-27T00:00:00.000+01:00
691856.429,1,2015-12-28T00:00:00.000+01:00
688847.584,1,2015-12-29T00:00:00.000+01:00
686469.667,1,2015-12-30T00:00:00.000+01:00
635232.317,1,2015-12-31T00:00:00.000+01:00
