,comunidad_autonoma,type,month,value
275,Principado de Asturias,Carbón,2015-12-01T00:00:00.000+01:00,2390.605
276,Principado de Asturias,Ciclo combinado,2015-01-01T00:00:00.000+01:00,854.17
277,Principado de Asturias,Ciclo combinado,2015-02-01T00:00:00.000+01:00,854.17
278,Principado de Asturias,Ciclo combinado,2015-03-01T00:00:00.000+01:00,854.17
279,Principado de Asturias,Ciclo combinado,2015-04-01T00:00:00.000+02:00,854.17
280,Principado de Asturias,Ciclo combinado,2015-05-01T00:00:00.000+02:00,854.17
281,Principado de Asturias,Ciclo combinado,2015-06-01T00:00:00.000+02:00,854.17
282,Principado de Asturias,Ciclo combinado,2015-07-01T00:00:00.000+02:00,854.17
283,Principado de Asturias,Ciclo combinado,2015-08-01T00:00:00.000+02:00,854.17
284,Principado de Asturias,Ciclo combinado,2015-09-01T00:00:00.000+02:00,854.17
285,Principado de Asturias,Ciclo combinado,2015-10-01T00:00:00.000+02:00,854.17
286,Principado de Asturias,Ciclo combinado,2015-11-01T00:00:00.000+01:00,854.17
287,Principado de Asturias,Ciclo combinado,2015-12-01T00:00:00.000+01:00,854.17
288,Principado de Asturias,Eólica,2015-01-01T00:00:00.000+01:00,518.45
289,Principado de Asturias,Eólica,2015-02-01T00:00:00.000+01:00,518.45
290,Principado de Asturias,Eólica,2015-03-01T00:00:00.000+01:00,518.45
291,Principado de Asturias,Eólica,2015-04-01T00:00:00.000+02:00,518.45
292,Principado de Asturias,Eólica,2015-05-01T00:00:00.000+02:00,518.45
293,Principado de Asturias,Eólica,2015-06-01T00:00:00.000+02:00,518.45
294,Principado de Asturias,Eólica,2015-07-01T00:00:00.000+02:00,518.45
295,Principado de Asturias,Eólica,2015-08-01T00:00:00.000+02:00,518.45
296,Principado de Asturias,Eólica,2015-09-01T00:00:00.000+02:00,518.45
297,Principado de Asturias,Eólica,2015-10-01T00:00:00.000+02:00,518.45
298,Principado de Asturias,Eólica,2015-11-01T00:00:00.000+01:00,518.45
299,Principado de Asturias,Eólica,2015-12-01T00:00:00.000+01:00,518.45
300,Principado de Asturias,Solar fotovoltaica,2015-01-01T00:00:00.000+01:00,0.79
301,Principado de Asturias,Solar fotovoltaica,2015-02-01T00:00:00.000+01:00,0.79
302,Principado de Asturias,Solar fotovoltaica,2015-03-01T00:00:00.000+01:00,0.79
303,Principado de Asturias,Solar fotovoltaica,2015-04-01T00:00:00.000+02:00,0.79
304,Principado de Asturias,Solar fotovoltaica,2015-05-01T00:00:00.000+02:00,0.79
